section_id,training_samples,forecast_days,train_mae,avg_predicted_task_time,changepoint_prior_scale,seasonality_prior_scale,fourier_monthly,fourier_quarterly
SEC-001,727,241,430.35675541600574,819.7600712976723,0.05,8.0,5,3
SEC-002,727,241,493.4966765708632,1373.1152312339161,0.1,5.0,3,2
SEC-003,727,241,398.0936672560859,920.6844986704373,0.03,7.0,7,4
SEC-004,727,241,439.3221117184479,1037.7377010131027,0.2,1.0,5,3
SEC-005,727,241,1125.7678524906833,2489.847485661778,0.05,8.0,3,2
SEC-006,727,241,833.2172959496229,2236.9156154129414,0.1,5.0,5,3
