Section,Best_Epsilon,Best_Alpha,Best_MaxIter,Fit_Intercept,CV_MAE,Final_MAE,Final_RMSE,Final_R2,Training_Samples
SEC-001,2.5,2.3819256646753313e-06,450,True,0.5435778822090033,0.5420448110327278,0.6771330898716962,0.7948385952884177,727
SEC-002,1.3,0.043570676782234655,600,True,0.5655048928382531,0.5643519475513075,0.7095233919968555,0.8243576713104775,727
SEC-003,1.3,5.002881133425486e-06,1550,True,0.5526295006104072,0.5468665094817815,0.6941029609195534,0.7623790535279846,727
SEC-004,1.0,0.002086668812396698,300,True,0.5389423265363943,0.5374633510329921,0.6857671948407874,0.8131166577594469,727
SEC-005,1.4,0.0001800366193826709,1350,True,0.5221716554904736,0.5204699213255054,0.6688208768552404,0.9667970437707012,727
SEC-006,2.2,4.514009372796933e-05,1250,True,0.5237410033750883,0.5221767318048828,0.6593900399312782,0.9380493397786615,727
