section_id,forecast_days_2025,avg_predicted_employees_2025,min_predicted_2025,max_predicted_2025,regression_weight,model_r2,avg_confidence_range
SEC-001,239,2.518828451882845,2,3,0.6,0.7927599501017807,3.5230125523012554
SEC-002,239,3.8200836820083683,3,4,0.6,0.8299305553944234,4.376569037656904
SEC-003,239,2.4769874476987446,2,3,0.6,0.7535493073309983,3.280334728033473
SEC-004,239,2.6820083682008367,2,3,0.6,0.8034382712406035,3.6861924686192467
SEC-005,239,6.615062761506276,5,9,0.8,0.9644516835545953,9.288702928870293
SEC-006,239,5.2175732217573225,5,6,0.8,0.9301561807628473,6.347280334728033
